station_code,station_name,state,zone
NDZ,Nidigallu,AP,SCR
NEA,Neykkarapatti,TN,SR
NEC,Nemilicherry Halt,TN,SR
NED,Huzur Sahib Nanded,MH,SCR
NEI,Neoli,MH,CR
NEM,Trivandrum Nemom,KL,SR
NEMA,Nema Halt,BR,
NEO,Neora,BR,ECR
NEP,Nenpur,GJ,WR
NERH,Ner Halt,,
NERI,Neri,,NR
NEW,Nivari,UP,NCR
NFK,New Farakka Junction,WB,ER
NG,Nagari,AP,SR
NGA,Ningala Junction,GJ,WR
NGAN,Nagaon,AS,NFR
NGB,Nawabganj Gonda,UP,NER
NGD,Nagardevla,MH,CR
NGE,Nagar,CG,SECR
NGF,Nagarnabi,WB,ER
NGG,Nagina,UP,NR
NGI,Nagari,AP,CR
NGJN,Ngrjunanagaramu,,
NGK,Nagercoiloa,,
NGL,Nangal,UP,NR
NGLL,Naglatula,,
NGLT,Naglatula,RJ,NCR
NGM,Nagasamudram,AP,SWR
NGMP,New Garh Madhopur,OR,ECoR
NGN,Nandgaon,MH,CR
NGNT,New Guntur,AP,SCR
NGO,Nagaur,RJ,NWR
NGP,Nagpur Junction,MH,CR
NGR,Annigeri,KA,SWR
NGRD,Nilgiri Road,OR,SER
NGRS,Nagrota Surian,HP,NR
NGRT,Nagrota,HP,NR
NGS,Nagansur,MH,CR
NGT,Nagappattinam,TN,SR
NGTG,New Gitaldaha,WB,NFR
NGTN,Nagothane,MH,CR
NGW,Nauganwan,MP,WR
NGWN,Noganwan,PB,NR
NGX,Nigan,WB,ER
NGZ,S K Nagjihari,MH,CR
NH,Naihati Junction,WB,ER
NHB,Noh Bachhamdi,RJ,NCR
NHF,Nihasta Halt,UP,NR
NHH,Nihalgarh,UP,NR
NHK,Naharkatiya,AS,NFR
NHLN,Naharlagun,,
NHM,Nandol Dehegam,GJ,WR
NHN,Nigohan,UP,NR
NHR,Nohar,RJ,NWR
NHT,Nalhati Junction,WB,ER
NHU,Nahur,MH,CR
NHX,Narthar,UP,NER
NHY,Naganahalli,KA,SWR
NI,Naydongri,MH,CR
NIA,Naila,CG,SECR
NID,Nidur,TN,SR
NIDI,Nidi,MH,CR
NIG,Naigaon,MH,WR
NIIJ,Nilaje,MH,CR
NIL,Nilambur Road,KL,SR
NILD,Nilaje,,
NILE,Nimtita,WB,ER
NIM,Nimdih,JH,SER
NIP,Nizampur,RJ,NWR
NIQ,Nigaura,MP,SECR
NIR,Nainpur Junction,MP,SECR
NIRA,Nira,MH,CR
NIU,Nabipur,GJ,WR
NIV,Nivasar,MH,KR
NJA,Nagjua,JH,SER
NJB,Nijbari,WB,NFR
NJM,Njramanal,,
NJN,Naojan,AS,NFR
NJP,New Jalpaiguri,WB,NFR
NJT,Nagercoil Town,TN,SR
NK,Nasik Road,MH,CR
NKB,Nagrakota,WB,NFR
NKD,Nekonda,AP,SCR
NKDO,Nakkanadoddi,AP,SCR
NKE,Narkatiaganj Junction,BR,ECR
NKH,Nathukheri,MP,WCR
NKI,Naikheri,MP,WR
NKJ,New Katni Junction,MP,WCR
NKK,Narikkudi,,
NKL,Nalikul,WB,ER
NKM,Namkon,JH,SER
NKP,Nirakarpur,OR,ECoR
NKR,Nimar Kheri,MP,WR
NKRA,Nokhra,RJ,
NKW,Nilakantheswar,OR,ECoR
NKX,Nakati Semra,CG,ECoR
